;Place of interest;City;Place address;lat_start;long_start;Type of place;Start;id;BiciMAD station;light;number;Station location;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry_type;geometry_coordinates;long_finish;lat_finish;final;Distance
976;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);190;Parque Roma;0;182;Calle Alcalde Sáinz de Baranda frente al nº 107;1;0;24;5;15;0;Point;[-3.6657777, 40.4186666];-3.6657777;40.4186666;POINT (4499385.384455094 -408351.1946310046);5238.143857884041
941;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);155;María Francisca 1;0;146;Calle María Francisca nº 1;1;0;18;2;15;0;Point;[-3.6787169, 40.4442258];-3.6787169;40.4442258;POINT (4502230.621584177 -409794.5433319399);5312.287096001832
927;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);141;Orense 36;2;154;Calle Orense nº 36;1;0;24;11;13;0;Point;[-3.6946218, 40.4548456];-3.6946218;40.4548456;POINT (4503412.812312503 -411568.7402199105);5349.2877134903165
925;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);139;San Germán 57;2;155;Calle San Germán nº 57;1;0;24;13;11;0;Point;[-3.7009675, 40.4572824];-3.7009675;40.4572824;POINT (4503684.075647669 -412276.6140344901);5400.095707337316
1037;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);251;Cartagena;2;243;Calle Cartagena nº 34;1;0;24;7;14;1;Point;[-3.67012, 40.43503];-3.67012;40.43503;POINT (4501206.94981074 -408835.569468114);5431.684959435094
1022;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);236;Concordia;0;227;Calle Arroyo del Olivar nº 6;1;0;24;6;16;0;Point;[-3.6659362429356372, 40.39382977920336];-3.6659362429356372;40.39382977920336;POINT (4496620.562211088 -408368.8797354235);5439.408175667871
978;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);192;Marqués de Zafra;2;184;Paseo Marqués de Zafra nº 24;1;0;24;7;15;0;Point;[-3.6653055, 40.426];-3.6653055;40.426;POINT (4500201.734808877 -408298.5218119443);5497.150250629684
1032;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);246;San Germán 5;2;238;Calle San Germán nº 5;1;0;24;12;11;0;Point;[-3.6929376751795306, 40.45619382579544];-3.6929376751795306;40.45619382579544;POINT (4503562.896121526 -411380.8740326743);5558.402387406637
934;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);148;Doctor Arce 45;2;147;Avenida del Doctor Arce nº 45;1;0;24;9;15;0;Point;[-3.6797296, 40.4483269];-3.6797296;40.4483269;POINT (4502687.153947869 -409907.509408599);5574.902686485329
990;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);204;Prosperidad;2;196;Calle Suero de Quiñones nº 2;1;0;24;10;10;0;Point;[-3.6751388, 40.4441388];-3.6751388;40.4441388;POINT (4502220.936788478 -409395.4094541799);5591.455829201348
